"","ID","key_press","trial_type","trial_index","control_level","correct","confidence_level","test_part","staircase","reverse","staircaseA","staircaseB","average_thre"
"2081",46,66,"dot-motion",105,0.0500038,1,4,"stimulus",0,NA,0,0,0
"2082",36,65,"dot-motion",217,0.0628055,NA,3,"stimulus",1,1,0,0,0
"2083",41,66,"dot-motion",109,0.0785084,1,3,"stimulus",0,NA,0,0,0
"2084",90,66,"dot-motion",125,0.0550067,1,2,"stimulus",0,1,0,0,0
"2085",82,66,"dot-motion",211,0.0690057,NA,2,"stimulus",0,NA,0,0,0
"2086",71,65,"dot-motion",259,0.00350135,1,4,"stimulus",1,NA,0,0,0
"2087",92,65,"dot-motion",173,0.0070057,1,2,"stimulus",0,NA,0,0,0
"2088",49,66,"dot-motion",35,0.01,1,4,"stimulus",1,NA,0,0,0
"2089",85,65,"dot-motion",107,0.25,1,4,"catch trial",0,NA,0,0,0
"2090",16,65,"dot-motion",109,0.25,1,2,"catch trial",0,NA,0,0,0
"2091",14,65,"dot-motion",133,0.25,1,4,"catch trial",0,NA,0,0,0
"2092",33,66,"dot-motion",229,0.0095096,1,1,"stimulus",0,NA,0,0,0
"2093",12,66,"dot-motion",131,0.0550045,NA,3,"stimulus",1,NA,0,0,0
"2094",18,65,"dot-motion",51,0.0150015,1,3,"stimulus",1,1,0,0,0
"2095",93,66,"dot-motion",143,0.0060033,1,4,"stimulus",0,NA,0,0,0
"2096",46,65,"dot-motion",107,0.0475038,1,4,"stimulus",0,NA,0,0,0
"2097",90,66,"dot-motion",127,0.25,NA,4,"catch trial",0,NA,0,0,0
"2098",54,65,"dot-motion",97,0.0255041,1,4,"stimulus",0,NA,0,0,0
"2099",41,65,"dot-motion",111,0.25,NA,3,"catch trial",0,NA,0,0,0
"2100",36,66,"dot-motion",219,0.0440056,1,3,"stimulus",0,NA,0,0,0
"2101",14,65,"dot-motion",135,0.0050045,1,4,"stimulus",0,NA,0,0,0
"2102",71,65,"dot-motion",261,0.0045051,1,4,"stimulus",0,NA,0,0,0
"2103",82,65,"dot-motion",213,0.0620066,NA,3,"stimulus",1,NA,0,0,0
"2104",33,66,"dot-motion",231,0.25,1,1,"catch trial",0,NA,0,0,0
"2105",49,65,"dot-motion",37,0.01,1,4,"stimulus",0,NA,0,0,0
"2106",46,65,"dot-motion",109,0.0450037,1,4,"stimulus",0,NA,0,0,0
"2107",85,66,"dot-motion",109,0,1,1,"stimulus",0,NA,0,0,0
